Suggested tags,Product,On the website,Licence,Licence name,Active ingredients,What the licence says about quantity,Suggested most per order (this product),Our notes,Pharmacist: agree? (Yes/No),Pharmacist: notes
limit-pseudoephedrine,Sudafed N/D Tabs 12Pk,Yes,PA23490/034/002,Non-Drowsy Sudafed Decongestant 60 mg Film-Coated Tablets,Pseudoephedrine Hydrochloride,Sale through pharmacies only in packs containing not more than 12 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription. Not more than one pack of pseudoephedrine containing medicinal products should be sup,1,,,
limit-pseudoephedrine,Sudafed Syrup 100Ml,Yes,PA23490/034/001,Non-Drowsy Sudafed Decongestant 30 mg/5 ml Syrup,Pseudoephedrine Hydrochloride,Sale through pharmacies only in packs containing not more than 100ml per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,Confirms the questions document's query: Non-Drowsy Sudafed syrup contains pseudoephedrine.,,
"limit-pseudoephedrine, limit-paracetamol-p",Sudaplus N/D Tabs 15Pk,Yes,PA23490/021/001,Non-Drowsy Sudaplus Tablets Paracetamol 500mg Pseudoephedrine hydrochl,"Paracetamol, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,"Contains paracetamol too (pharmacy pack), so it carries both tags; the pseudoephedrine limit of 1 is the tighter and applies.",,
limit-pseudoephedrine,Zirtek Plus Decongestant 6Pk,Yes,PA0891/008/001,Zirtek Plus Decongestant 5mg/120mg Prolonged Release Tablet,"Pseudoephedrine Hydrochloride, Cetirizine Dihydrochloride","Product not subject to medical prescription in pack sizes up to 10 tablets. Product subject to prescription for pack sizes greater than 10 tablets. Promotion to the public subject to the following restrictions: maximum strength: 10mg, maximum pack size",1,,,
limit-paracetamol-gsl,Calpol 6+ Fastmelts 12Pk,No,PA23490/003/005,Calpol Six Plus Fastmelts 250 mg Paracetamol orodispersible tablets,Paracetamol,None,1,General-sale pack. Its licence lists no quantity condition; confirm the limit.,,
limit-paracetamol-gsl,Calpol 6+ Sf 60Ml S/Berry Susp,Yes,PA23490/003/003,Calpol Six Plus 250 mg/5 ml Sugar/Colour Free Oral Suspension,Paracetamol,General Sale: MAXIMUM PACK SIZE 60ml. Maximum one pack per sale.Contains only paracetamol as analgesic. Pharmacy only: MAXIMUM PACK SIZE 140ml for product for children aged 6 – 12 years. MAXIMUM PACK SIZE 240ml if not for use in under 12’s. Maximum two p,1,,,
limit-paracetamol-p,Calpol 6+ Sf 140Ml S/Berry Susp,Yes,PA23490/003/003,Calpol Six Plus 250 mg/5 ml Sugar/Colour Free Oral Suspension,Paracetamol,General Sale: MAXIMUM PACK SIZE 60ml. Maximum one pack per sale.Contains only paracetamol as analgesic. Pharmacy only: MAXIMUM PACK SIZE 140ml for product for children aged 6 – 12 years. MAXIMUM PACK SIZE 240ml if not for use in under 12’s. Maximum two p,2,,,
limit-paracetamol-gsl,Calpol Infant Syringe 60Ml Strawberry Susp,Yes,PA23490/003/001,Calpol 120 mg/5 ml Infant Oral Suspension,Paracetamol,General Sale: MAXIMUM PACK SIZE 60ml. Maximum one pack per sale.Contains only paracetamol as analgesic. Pharmacy only: MAXIMUM PACK SIZE 140ml. Maximum two packs per sale. Promotion to the public: Pack size not more than 140ml,1,,,
limit-paracetamol-p,Calpol Infant 140Ml Spoon/ Syringe Strawberry Susp,Yes,PA23490/003/001,Calpol 120 mg/5 ml Infant Oral Suspension,Paracetamol,General Sale: MAXIMUM PACK SIZE 60ml. Maximum one pack per sale.Contains only paracetamol as analgesic. Pharmacy only: MAXIMUM PACK SIZE 140ml. Maximum two packs per sale. Promotion to the public: Pack size not more than 140ml,2,,,
limit-paracetamol-p,Calpol Infant Sf 140Ml Spoon Syringe S/Berry Susp,No,PA23490/003/004,Calpol 120 mg/ 5 ml Sugar Free Infant Oral Suspension,Paracetamol,General sale in child resistant packs containing not more than 60ml of the 120mg/5ml unit dosage form. Only one pack should be supplied in the course of any one retail transaction. Retail sale through pharmacies only in child resistant packs containing,2,The register text for this licence is cut off; the non-sugar-free Calpol Infant licence gives two packs for 140 ml.,,
limit-paracetamol-p,Easolief Duo 500/150Mg Tabs Paracetamol/Ibuprofen,Yes,PA0126/294/001,Easolief Duo 500mg/150mg Film-coated Tablets,"Paracetamol, Ibuprofen",Pharmacy only: MAXIMUM PACK SIZE 24 in blister packs. Maximum two packs per retail transaction with pharmacist interview. Promotion to the public: Pack size not more than 24. Promotion to healthcare professionals: Pack size greater than 24.,2,"Licence: ""with pharmacist interview"".",,
limit-paracetamol-p,Excedrin Tablets 20Pk,Yes,PA0678/122/001,Excedrin 250 mg/ 250 mg/ 65 mg film coated tablets,"Acetylsalicylic Acid, Paracetamol, Caffeine",Retail sale through pharmacies only in packs containing not more than 24 unit dosage forms. Not more than two such packs should be supplied in the course of any one retail transaction unless a valid prescription exists. Packs containing more than 24 unit,2,,,
limit-paracetamol-p,Ilvico Tabs 20Pk,Yes,PA22703/001/001,Ilvico Cold and Flu film-coated tablets Paracetamol 325 mg Caffeine 30,"Paracetamol, Brompheniramine Maleate, Caffeine",Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Promotion to the public: Pack size not more than 24,2,,,
limit-paracetamol-gsl,Lemsip Headcold 10Pk,Yes,PA0979/014/001,Lemsip Cold & Flu Headcold 500 mg Powder for Oral Solution,Paracetamol,General sale in packs containing not more than 12 individual unit dosage forms. The product concerned should contain paracetamol as its only active analgesic substance and only one pack should be supplied in the course of any one retail transaction. Retai,1,,,
limit-paracetamol-p,Lemsip Max Cold & Flu Hot Lemon 10Pk,Yes,PA0979/021/001,Lemsip Max Cold and Flu Hot Lemon 1000mg Powder for Oral Solution,Paracetamol,General sale in packs containing not more than 6 individual unit dosage forms. Only one pack should be supplied in the course of any one retail transaction. Retail sale through pharmacies only in packs containing not more than 12 individual unit dosag,2,Pharmacy-only at 10 sachets; the register text is cut off before the per-sale wording.,,
limit-paracetamol-gsl,Lemsip Max Cough Cold Sachets 5Pk,Yes,PA0979/028/001,Lemsip Max Cough & Cold Powder for Oral Solution Paracetamol 1000 mg G,"Paracetamol, Guaifenesin",General Sale: MAXIMUM PACK SIZE 6. Contains only paracetamol as analgesic. Maximum one pack per sale Pharmacy only: MAXIMUM PACK SIZE 12. Maximum two packs per sale. Promotion to the public: Pack size not more than 12,1,,,
limit-paracetamol-gsl,Lemsip Max Strength Hot Lemon 5Pk,Yes,PA0979/021/001,Lemsip Max Cold and Flu Hot Lemon 1000mg Powder for Oral Solution,Paracetamol,General sale in packs containing not more than 6 individual unit dosage forms. Only one pack should be supplied in the course of any one retail transaction. Retail sale through pharmacies only in packs containing not more than 12 individual unit dosag,1,,,
limit-paracetamol-gsl,Lemsip Original Hot Lemon 5Pk,Yes,PA0979/013/001,Lemsip Cold & Flu Hot Lemon 500 mg Powder for Oral Solution,Paracetamol,General sale in packs containing not more than 12 individual unit dosage forms. The product concerned should contain paracetamol as its only active analgesic substance and only one pack should be supplied in the course of any one retail transaction. Re,1,,,
limit-paracetamol-p,Night Nurse Caps 10Pk Gsk,Yes,PA0678/021/001,Night Nurse Capsules Paracetamol 500 mg Promethazine Hydrochloride 10 ,"Dextromethorphan Hydrobromide, Promethazine Hydrochloride, Paracetamol",Retail sale through pharmacies only in blister packs containing not more than 24 unit dosage forms. Not more than two such packs should be supplied in the course of any one retail transaction unless a valis prescription exists. Packs containing more than,2,,,
limit-paracetamol-p,Night Nurse Liquid 160Ml Gsk,Yes,PA0678/014/001,Night Nurse Cold Remedy oral solution Paracetamol 1000 mg/20 ml       ,"Paracetamol, Promethazine Hydrochloride, Dextromethorphan Hydrobromide",Retail through pharmacies only in child resistant packs containing not more than 240ml of the 250mg/5ml unit dosage form. Not more than two such packs should be supplied in the course of any one retail transaction unless a valid prescription exists. Pr,2,,,
limit-paracetamol-p,Panadol Actifast 20Pk,Yes,PA0678/039/012,Panadol Actifast Tablets 500mg,Paracetamol,General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Prescription only: Pack size greater than 24. Product not supplied in blister packs.,2,,,
limit-paracetamol-gsl,Panadol Actifast Soluble 12Pk,Yes,PA0678/039/014,Panadol ActiFast 500mg Soluble Tablets,Paracetamol,General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Prescription only: Pack size greater than 24. Product not supplied in blister packs.,1,,,
limit-paracetamol-p,Panadol Baby & Infant Susp Paracetamol 100Ml,Yes,PA0678/039/003,"Panadol Baby 120 mg/5 ml, Oral Suspension",Paracetamol,General sale in child resistant packs containing not more than 60ml of the 120mg/5ml unit dosage form. The product concerned should contain paracetamol as its only active analgesic substance and only one pack should be supplied in the course of any one ret,2,Pharmacy-only above 60 ml; the register text is cut off before the pharmacy wording.,,
limit-paracetamol-gsl,Panadol C&F Relief Tabs 12Pk,Yes,PA0678/105/001,Panadol Cold and Flu Relief 500mg/65mg Film-Coated Tablets,"Paracetamol, Caffeine",General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Prescription only: Pack size greater than 24. Product not supplied in blister packs.,1,,,
limit-paracetamol-gsl,Panadol Ets Tabs 12Pk,Yes,PA0678/107/001,Panadol 500 mg Film Coated Tablets,Paracetamol,General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Prescription only: Pack size greater than 24. Product not supplied in blister packs.,1,,,
limit-paracetamol-p,Panadol Ets Tabs 24Pk,Yes,PA0678/107/001,Panadol 500 mg Film Coated Tablets,Paracetamol,General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Prescription only: Pack size greater than 24. Product not supplied in blister packs.,2,,,
limit-paracetamol-gsl,Panadol Extra 12Pk,Yes,PA0678/027/001,Panadol Extra Film-coated tablets Paracetamol 500mg Caffeine 65mg,"Paracetamol, Caffeine",General sale in blister packs containing not more than 12 unit dosage forms. The product concerned should contain paracetamol as its only active analgesic substance and only one pack should be supplied in the course of any one retail transaction. Reta,1,,,
limit-paracetamol-p,Panadol Extra 24Pk,Yes,PA0678/027/001,Panadol Extra Film-coated tablets Paracetamol 500mg Caffeine 65mg,"Paracetamol, Caffeine",General sale in blister packs containing not more than 12 unit dosage forms. The product concerned should contain paracetamol as its only active analgesic substance and only one pack should be supplied in the course of any one retail transaction. Reta,2,Pharmacy-only at 24; the register text is cut off before the per-sale wording.,,
limit-paracetamol-p,Panadol Extra Soluble 24Pk,Yes,PA0678/039/010,Panadol Extra 500mg/65mg Soluble Effervescent Tablets,"Paracetamol, Caffeine",(none listed),2,Pharmacy only; its licence lists no quantity condition; confirm the limit.,,
limit-paracetamol-p,Panadol Night 20Pk,Yes,PA0678/039/008,Panadol Night,"Paracetamol, Diphenhydramine Hydrochloride",General Sale: MAXIMUM PACK SIZE 12. Contains only paracetamol as analgesic. Maximum one pack per sale. Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Promotion to the public: Pack size not more than 24,2,,,
limit-paracetamol-p,Paralief Paracetamol 24Pk Blue Clonmel,Yes,PA0126/020/008,Paralief 500 mg film-coated tablets,Paracetamol,- General sale: MAXIMUM PACK SIZE 12 in blister packs. Contains only paracetamol as analgesic. Maximum one pack per retail transaction. - Pharmacy only: MAXIMUM PACK SIZE 24 in blister packs. Maximum two packs per retail transaction with pharmacist interview. - Prescription only: Pack size greater than 24 and any packs not supplied in blister packs or such equivalent form of packaging as specified,2,Several Paralief licences; check which is on the box.,,
limit-paracetamol-p,Paralink 180Mg Supp 10Pk,Yes,PA1721/006/002,Paralink 180 mg suppositories,Paracetamol,(none listed),2,Pharmacy only; its licence lists no quantity condition; confirm the limit.,,
limit-paracetamol-p,Paralink 500Mg Supp 10Pk,Yes,PA1721/006/003,Paralink 500 mg suppositories,Paracetamol,(none listed),2,Pharmacy only; its licence lists no quantity condition; confirm the limit.,,
limit-paracetamol-p,Paralink Susp 100Ml,Yes,PA1721/006/001,Paralink 120 mg/5 ml Oral Solution,Paracetamol,General Sale: MAXIMUM PACK SIZE 60ml in child resistant packs. Maximum one pack per sale.Contains only paracetamol as analgesic. Pharmacy only: MAXIMUM PACK SIZE 140ml. Maximum two packs per sale. Promotion to the public: Pack size not more than 140ml,2,,,
limit-paracetamol-p,Uniflu With Vitamin C Tablets 24Pk,No,PA1113/005/001,Uniflu with Vitamin C Tablets,"Caffeine, Diphenhydramine Hydrochloride, Paracetamol, Phenylephrine Hydrochloride, Ascorbic Acid",Pharmacy only: MAXIMUM PACK SIZE 24. Maximum two packs per sale. Promotion to the public: Pack size not more than 24,2,Off the website pending your decision on codeine (set 2).,,
