Group,Pattern,Flag,Product,SKU now,Barcode field now,Suggested barcode,Barcode on the box (fill in),What to check,Shopify admin link
4,Extra or padded digits,,Eucerin 10% Urea Foot Cream,40058000361011,,4005800036101,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671409246539
4,Extra or padded digits,,Hugo Extreme Mens 75Ml Edp Spr,36163016223380,,3616301622338,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671349805387
4,Extra or padded digits,,Mam Air 12+ Months (White/Blue Fox),900161671022300,,9001616710223,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671319003467
4,Extra or padded digits,COLLISION: already the barcode of Mam Clip Double Set 0+Months Blue,Mam Clip Double Set 0+Months,90016162052311,,9001616205231,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671294099787
4,Extra or padded digits,COLLISION: already the barcode of Mam Easy Start Anti Colic 2+Months Pink,Mam Easy Start Anti Colic 2+Months Light Pink,90016166699341,,9001616669934,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671332340043
4,Extra or padded digits,COLLISION: suggested number would land on 2 products,Mam Original 6+ Months (Blue/White),90016162020180,,9001616202018,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671290757451
4,Extra or padded digits,COLLISION: suggested number would land on 2 products,Mam Original 6+ Months (Pink Cat/Blue Flowers),900161620201800,,9001616202018,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671392108875
4,Extra or padded digits,COLLISION: suggested number would land on 2 products,Mam Original Night 0+ Months (Light Purple/Light Pink Stars),900161690829300,,9001616908293,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671322673483
4,Extra or padded digits,COLLISION: suggested number would land on 2 products,Mam Original Night 0+ Months (White),90016169082930,,9001616908293,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671361962315
4,Extra or padded digits,COLLISION: suggested number would land on 2 products | COLLISION: already the barcode of Mam Night Soother 12Mths+ Silicone,Mam Original Night 12+ Months (Navy/White),90016167096540,,9001616709654,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671393124683
4,Extra or padded digits,COLLISION: suggested number would land on 2 products | COLLISION: already the barcode of Mam Night Soother 12Mths+ Silicone,Mam Original Night 12+ Months (Purple Owl/White),9001616709654000,,9001616709654,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671374053707
4,Extra or padded digits,COLLISION: suggested number would land on 3 products | COLLISION: already the barcode of Mam Original Night 6+Months,Mam Original Night 6+ Months (Baby Pink/ White),90016162038620000,,9001616203862,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671339778379
4,Extra or padded digits,COLLISION: suggested number would land on 3 products | COLLISION: already the barcode of Mam Original Night 6+Months,Mam Original Night 6+ Months (Blue/White Moon),900161620386200,,9001616203862,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671337517387
4,Extra or padded digits,COLLISION: suggested number would land on 3 products | COLLISION: already the barcode of Mam Original Night 6+Months,Mam Original Night 6+ Months (Dark Blue/Light Blue),90016162038620,,9001616203862,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671284793675
4,Extra or padded digits,COLLISION: already the barcode of Mam Starter Cup Night 4+Months Green,Mam Starter Cup Night 4+Months Pink,90016168079477,,9001616807947,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671291183435
4,Extra or padded digits,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Brightening Bundle,48564985643598,,4856498564359,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671259005259
4,Extra or padded digits,,Revive Active Tropical 210 Sachets 7 Months Supply,4789625416554,,478962541655,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671253991755
4,Extra or padded digits,"BUNDLE: shop-made, should have no barcode; leave blank",Unisex Festival Essentials Bundle,743485657575858,,7434856575758,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671337877835
4,Extra or padded digits,,Ysl Black Opium Ladies 50Ml Edp Spr,33654407879190,,3365440787919,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671259169099
5,No automatic fix,,3 Piece Ladies Set Libertie,6294015191298,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671299834187
5,No automatic fix,,Alflorex Precision Biotics-3 Month Supply,5392000067418,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671404659019
5,No automatic fix,,Apple Cider Mega Strength 1000Mg Tabs (30 Pk),5021827447800,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671352918347
5,No automatic fix,,Compeed Discreet Cold Sore,366355500211,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671382049099
5,No automatic fix,,Diesel Only The Brave 50Ml Edt Spr,0951577468,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671317823819
5,No automatic fix,,Estee Lauder Double Wear Makeup Pump,587167188877,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671270310219
5,No automatic fix,,Eylure Brow Dye (Light Brown),61923200349,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671325983051
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Hismile Teeth Whitening & Brightening Bundle,109834869865,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671374250315
5,No automatic fix,,Jakemans Cherry Soothing Menthol Lozenges 73G,503104005149,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671389684043
5,No automatic fix,,King Hair & Beauty Miracle Mist 7 In 1 Spray,4560405959,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671364813131
5,No automatic fix,,L'il Critters Gummy Vites Multi Vitamin & Mineral Formula 70Pk,2791701757,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671327785291
5,No automatic fix,,Luna By Lisa Jordan Lip Balm & Scrub Duo,56789616525,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671337156939
5,No automatic fix,,Mam Colours Of Nature 0+ Months (Blue/White Fox),900161681380000,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671363699019
5,No automatic fix,,Mam Easy Start Anti-Colic 0+Months,901616620058,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671339680075
5,No automatic fix,,Nivea Men Clean Shave Kit,025970012858,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671356916043
5,No automatic fix,,Nivea Men Feeling Protected Gift Set,025970014791,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671375331659
5,No automatic fix,,Nuage Hayfever Barrier Balm 50G,6278390031,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671390339403
5,No automatic fix,,Nuage Hayfever Relief Wipes 30Pk,26789030980,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671289086283
5,No automatic fix,,Optibac Babies & Children 0-12 Years (30 Sachets),506008661028,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671319363915
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Essentials Body Wash & Body Cream 500Ml Bundle,0000000,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671379231051
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Essentials Bundle,038548748843,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671357079883
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Hand Wash & Hand Cream Bundle,111111,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671342006603
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Hydrate And Vit C Bundle,11111,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671277519179
5,No automatic fix,"BUNDLE: shop-made, should have no barcode; leave blank",Pestle & Mortar Hydration Bundle,75748438398,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671297573195
5,No automatic fix,,Red Door 100Ml Edt,805805558420,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671413080395
5,No automatic fix,,Revive Active 3 Month Supply - 90 Sachets,5391517512176,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671372054859
5,No automatic fix,,Revive Active 6 Month Supply -180 Sachets,5391517512177,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671333585227
5,No automatic fix,,Revive Active Zest- 3 Month Supply-90 Sachets,735850866841,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671370187083
5,No automatic fix,,Revive Tropical 3 Month Supply - 90 Sachets,079775747684,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671388471627
5,No automatic fix,,Sculpted Velvet Veil Invisible Loose Setting Powder,794712490866,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671410065739
5,No automatic fix,,Tena Pants Plus (Extra Large),13232120,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671403446603
5,No automatic fix,,Travel Blue Comfort Bands,501840400501,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671302062411
5,No automatic fix,,Voduz Clear It Exfoliating Scalp Scrub,5060806565008,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671391289675
5,No automatic fix,,Voduz Sun Soothe After Sun Leave In Fluid 90Ml,5060939587221,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671282336075
5,No automatic fix,,Voduz Velvet Crown 200Ml,079359168304,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671307829579
5,No automatic fix,,Water Wipes- 24 Pack,35614643163,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671280501067
5,No automatic fix,,Waxperts Beautiful Body Oil,21542515912,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671338500427
5,No automatic fix,,Wild Fresh Cotton & Sea Salt Mens Refill,506500399070,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671320019275
5,No automatic fix,,Wild Green Case Mint & Aloe Vera Mens Starter Pack,50650003990685,,,,No simple repair. Read the barcode off the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671328342347
